,Посилання,Ціна,Адреса,Кількість кімнат,Площа,Поверх
0,https://rieltor.ua/flats-rent/view/10772045/,20 000 грн/міс,"Лейпцизька вул., 13",1 кімната,50 / 40 / 5 м²,поверх 14 з 21
1,https://rieltor.ua/flats-rent/view/10772098/,20 500 грн/міс,"Саксаганського вул., 37к",1 кімната,50 / 40 / 5 м²,поверх 14 з 19
2,https://rieltor.ua/flats-rent/view/10726316/,15 500 грн/міс,"Сікорського Ігоря вул. (Танкова), 1Б",1 кімната,56 / 19 / 12 м²,поверх 9 з 25
3,https://rieltor.ua/flats-rent/view/10722204/,6 500 грн/міс,"Беретті Вікентія вул., 10",2 кімнати,56 / 18 / 9 м²,поверх 15 з 16
4,https://rieltor.ua/flats-rent/view/10539217/,10 000 грн/міс,"Зодчих вул., 50в",2 кімнати,60 / 40 / 8 м²,поверх 3 з 5
5,https://rieltor.ua/flats-rent/view/10793197/,14 000 грн/міс,"Любомира Гузара просп. (Комарова), 13",2 кімнати,56 / 40 / 5 м²,поверх 3 з 18
6,https://rieltor.ua/flats-rent/view/10797833/,20 000 грн/міс,"Лобановського просп., 144",2 кімнати,48 / 18 / 15 м²,поверх 23 з 26
7,https://rieltor.ua/flats-rent/view/10715026/,1 500 $/міс,"Лютеранська вул., 10",3 кімнати,110 / 70 / 18 м²,поверх 4 з 18
8,https://rieltor.ua/flats-rent/view/10706448/,18 000 грн/міс,"Голосіївський просп. (40-річчя Жовтня), 58",1 кімната,64 / 23 / 23 м²,поверх 13 з 24
9,https://rieltor.ua/flats-rent/view/10582877/,1 200 $/міс,"Драгомирова вул., 9",3 кімнати,116 / 63 / 16 м²,поверх 15 з 31
10,https://rieltor.ua/flats-rent/view/10794955/,13 500 грн/міс,"Кадетський Гай вул., 6",1 кімната,41 / 14 / 12 м²,поверх 2 з 17
11,https://rieltor.ua/flats-rent/view/10793342/,16 000 грн/міс,"Вацлава Гавела бульв. (Лепсе Івана), 30",1 кімната,50 / 16 / 12 м²,поверх 13 з 16
12,https://rieltor.ua/flats-rent/view/10797198/,10 500 грн/міс,"Феодосійська вул., 1",1 кімната,43 / 20 / 10 м²,поверх 11 з 22
13,https://rieltor.ua/flats-rent/view/10794117/,16 000 грн/міс,"Ревуцького вул., 40В",2 кімнати,44 / 17 / 15 м²,поверх 18 з 25
14,https://rieltor.ua/flats-rent/view/10795377/,16 200 грн/міс,"Ревуцького вул., 40В",2 кімнати,44 / 17 / 18 м²,поверх 18 з 25
15,https://rieltor.ua/flats-rent/view/10184134/,1 400 $/міс,"Філатова академіка вул., 2/1",3 кімнати,110 / 70 / 30 м²,поверх 12 з 14
16,https://rieltor.ua/flats-rent/view/10358184/,22 500 грн/міс,"Межигірська вул., 3/7",3 кімнати,90 / 75 / 10 м²,поверх 4 з 4
17,https://rieltor.ua/flats-rent/view/10685439/,1 200 $/міс,"Василя Тютюнника вул. (Барбюса Анрі), 28а",3 кімнати,75 / 35 / 25 м²,поверх 6 з 23
18,https://rieltor.ua/flats-rent/view/10617123/,800 $/міс,"Антоновича вул. (Горького), 131",3 кімнати,140 / 78 / 20 м²,поверх 4 з 13
19,https://rieltor.ua/flats-rent/view/10789199/,20 000 грн/міс,"Деміївська вул., 13",1 кімната,55 / 20 / 20 м²,поверх 11 з 18
20,https://rieltor.ua/flats-rent/view/10612365/,30 000 грн/міс,"Родини Кістяківських вул., 2а",2 кімнати,45 / 30 / 10 м²,поверх 5 з 8
21,https://rieltor.ua/flats-rent/view/10772688/,32 000 грн/міс,"Микільсько-Слобідська вул., 1а",3 кімнати,128 / 80 / 25 м²,поверх 21 з 25
22,https://rieltor.ua/flats-rent/view/10582966/,32 000 грн/міс,"Саперне Поле вул., 14/55",2 кімнати,72 / 45 / 12 м²,поверх 14 з 25
23,https://rieltor.ua/flats-rent/view/10796571/,30 000 грн/міс,"Джона Маккейна вул. (Кудрі Івана), 7",2 кімнати,74 / 37 / 19 м²,поверх 17 з 24
24,https://rieltor.ua/flats-rent/view/10782975/,800 $/міс,"Саперне Поле вул., 14/55",2 кімнати,72 / 45 / 18 м²,поверх 14 з 25
25,https://rieltor.ua/flats-rent/view/10798358/,20 000 грн/міс,"Деміївська вул., 13",2 кімнати,55 / 30 / 25 м²,поверх 11 з 13
26,https://rieltor.ua/flats-rent/view/10791158/,10 000 грн/міс,"Каховська вул., 62а",1 кімната,35 / 15 / 17 м²,поверх 3 з 26
